,movieId,title,genres,year,imdbId,tmdbId,rating
0,1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995,114709,862,3.959322693655119
1,2,Jumanji,Adventure|Children|Fantasy,1995,113497,8844,3.2683982683982684
2,3,Grumpier Old Men,Comedy|Romance,1995,113228,15602,3.1868613138686133
3,4,Waiting to Exhale,Comedy|Drama|Romance,1995,114885,31357,3.0
4,5,Father of the Bride Part II,Comedy,1995,113041,11862,3.143835616438356
5,6,Heat,Action|Crime|Thriller,1995,113277,949,3.8365079365079366
6,7,Sabrina,Comedy|Romance,1995,114319,11860,3.3814285714285712
7,8,Tom and Huck,Adventure|Children,1995,112302,45325,3.3525641025641026
8,9,Sudden Death,Action,1995,114576,9091,3.017326732673267
9,10,GoldenEye,Action|Adventure|Thriller,1995,113189,710,3.4270025839793283
10,11,"American President, The",Comedy|Drama|Romance,1995,112346,9087,3.7121380846325165
11,12,Dracula: Dead and Loving It,Comedy|Horror,1995,112896,12110,2.6616915422885574
12,13,Balto,Adventure|Animation|Children,1995,112453,21032,3.2371794871794872
13,14,Nixon,Drama,1995,113987,10858,3.4126506024096384
14,15,Cutthroat Island,Action|Adventure|Romance,1995,112760,1408,2.710691823899371
15,16,Casino,Crime|Drama,1995,112641,524,3.849066390041494
16,17,Sense and Sensibility,Drama|Romance,1995,114388,4584,3.95
17,18,Four Rooms,Comedy,1995,113101,5,3.3223443223443225
18,19,Ace Ventura: When Nature Calls,Comedy,1995,112281,9273,2.587055606198724
19,20,Money Train,Action|Comedy|Crime|Drama|Thriller,1995,113845,11517,2.8714285714285714
20,21,Get Shorty,Comedy|Crime|Thriller,1995,113161,8012,3.6287208366854387
21,22,Copycat,Crime|Drama|Horror|Mystery|Thriller,1995,112722,1710,3.3613678373382623
22,23,Assassins,Action|Crime|Thriller,1995,112401,9691,3.1737089201877935
23,24,Powder,Drama|Sci-Fi,1995,114168,12665,3.1568396226415096
24,25,Leaving Las Vegas,Drama|Romance,1995,113627,451,3.702925045703839
25,26,Othello,Drama,1995,114057,16420,3.6
26,27,Now and Then,Children|Drama,1995,114011,9263,3.3131868131868134
27,28,Persuasion,Drama|Romance,1995,114117,17015,4.054545454545455
28,29,"City of Lost Children, The (Cité des enfants perdus, La)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1995,112682,902,4.004464285714286
29,30,Shanghai Triad (Yao a yao yao dao waipo qiao),Crime|Drama,1995,115012,37557,3.6339285714285716
30,31,Dangerous Minds,Drama,1995,112792,9909,3.3137044967880085
31,32,Twelve Monkeys (a.k.a. 12 Monkeys),Mystery|Sci-Fi|Thriller,1995,114746,63,3.9046280276816607
32,33,Wings of Courage,Adventure|Romance|IMAX,1995,114952,78802,3.0
33,34,Babe,Children|Drama,1995,112431,9598,3.64728453364817
34,35,Carrington,Drama|Romance,1995,112637,47018,3.7066666666666666
35,36,Dead Man Walking,Crime|Drama,1995,112818,687,3.925138632162662
36,37,Across the Sea of Time,Documentary|IMAX,1995,112286,139405,3.2777777777777777
37,38,It Takes Two,Children|Comedy,1995,113442,33689,2.7941176470588234
38,39,Clueless,Comedy|Romance,1995,112697,9603,3.4120111731843576
39,40,"Cry, the Beloved Country",Drama,1995,112749,34615,3.7
40,41,Richard III,Drama|War,1995,114279,31174,3.8072289156626504
41,42,Dead Presidents,Action|Crime|Drama,1995,112819,11443,3.173076923076923
42,43,Restoration,Drama,1995,114272,35196,3.479020979020979
43,44,Mortal Kombat,Action|Adventure|Fantasy,1995,113855,9312,2.6798892988929888
44,45,To Die For,Comedy|Drama|Thriller,1995,114681,577,3.4365904365904365
45,46,How to Make an American Quilt,Drama|Romance,1995,113347,11861,3.2916666666666665
46,47,Seven (a.k.a. Se7en),Mystery|Thriller,1995,114369,807,4.078090138331103
47,48,Pocahontas,Animation|Children|Drama|Musical|Romance,1995,114148,10530,2.9444444444444446
48,49,When Night Is Falling,Drama|Romance,1995,114916,8391,3.227272727272727
49,50,"Usual Suspects, The",Crime|Mystery|Thriller,1995,114814,629,4.370481927710843
50,51,Guardian Angel,Action|Drama|Thriller,1994,109950,117164,1.75
51,52,Mighty Aphrodite,Comedy|Drama|Romance,1995,113819,11448,3.547227926078029
52,53,Lamerica,Adventure|Drama,1994,110299,49133,4.0
53,54,"Big Green, The",Children|Comedy,1995,112499,26441,2.9285714285714284
54,55,Georgia,Drama,1995,113158,97406,3.2454545454545456
55,56,Kids of the Round Table,Adventure|Children|Fantasy,1995,113541,124057,1.5
56,57,Home for the Holidays,Drama,1995,113321,9089,3.4774436090225564
57,58,"Postman, The (Postino, Il)",Comedy|Drama|Romance,1994,110877,11010,3.9876923076923076
58,59,"Confessional, The (Confessionnal, Le)",Drama|Mystery,1995,112714,99040,3.0
59,60,"Indian in the Cupboard, The",Adventure|Children|Fantasy,1995,113419,11359,3.096989966555184
60,61,Eye for an Eye,Drama|Thriller,1996,116260,17182,3.427480916030534
61,62,Mr. Holland's Opus,Drama,1995,113862,2054,3.7620423892100194
62,63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy|Crime,1996,116126,10607,2.8157894736842106
63,64,Two if by Sea,Comedy|Romance,1996,118002,19760,2.827777777777778
64,65,Bio-Dome,Comedy,1996,115683,9536,2.4078947368421053
65,66,Lawnmower Man 2: Beyond Cyberspace,Action|Sci-Fi|Thriller,1996,116839,11525,2.1297709923664123
66,67,Two Bits,Drama,1995,114753,40628,3.6
67,68,French Twist (Gazon maudit),Comedy|Romance,1995,113149,4482,3.4705882352941178
68,69,Friday,Comedy,1995,113118,10634,3.6125541125541125
69,70,From Dusk Till Dawn,Action|Comedy|Horror|Thriller,1996,116367,755,3.2202898550724637
70,71,Fair Game,Action,1995,113010,11859,2.3981481481481484
71,72,Kicking and Screaming,Comedy|Drama,1995,113537,28387,3.3970588235294117
72,73,"Misérables, Les",Drama|War,1995,113828,48750,3.789808917197452
73,74,Bed of Roses,Drama|Romance,1996,115644,20927,3.3535911602209945
74,75,Big Bully,Comedy|Drama,1996,115676,36929,2.4166666666666665
75,76,Screamers,Action|Sci-Fi|Thriller,1995,114367,9102,3.08
76,77,Nico Icon,Documentary,1995,113973,124626,3.4615384615384617
77,78,"Crossing Guard, The",Action|Crime|Drama|Thriller,1995,112744,27526,3.1641791044776117
78,79,"Juror, The",Drama|Thriller,1996,116731,9623,3.2263513513513513
79,80,"White Balloon, The (Badkonake sefid)",Children|Drama,1995,112445,46785,3.8181818181818183
80,81,Things to Do in Denver When You're Dead,Crime|Drama|Romance,1995,114660,400,3.2151515151515153
81,82,Antonia's Line (Antonia),Comedy|Drama,1995,112379,880,3.949324324324324
82,83,Once Upon a Time... When We Were Colored,Drama|Romance,1995,114039,146599,3.4827586206896552
83,84,Last Summer in the Hamptons,Comedy|Drama,1995,113612,188588,3.269230769230769
84,85,Angels and Insects,Drama|Romance,1995,112365,8447,3.546979865771812
85,86,White Squall,Action|Adventure|Drama,1996,118158,10534,3.47972972972973
86,87,Dunston Checks In,Children|Comedy,1996,116151,17414,2.4722222222222223
